"","Extraversion","logsalary","BetterLife","JobSat"
"1413","In real life (in person)",12.3883942064908,"No","Very satisfied"
"1414","Online",11.6082356538655,"Yes","Slightly satisfied"
"1415","In real life (in person)",11.7360690242844,"No","Very satisfied"
"1416","In real life (in person)",12.1547793564058,"Yes","Very satisfied"
"1417","In real life (in person)",NA,"Yes","Very satisfied"
"1418","In real life (in person)",NA,"Yes","Slightly satisfied"
"1419","In real life (in person)",13.7746885644857,"Yes","Very satisfied"
"1420","In real life (in person)",11.9183905797451,"Yes","Slightly satisfied"
"1421","Online",11.0020998578709,"Yes","Very satisfied"
"1422","Online",8.47637140522929,"No","Slightly satisfied"
"1423","In real life (in person)",11.7360690242844,"No","Neither satisfied nor dissatisfied"
"1424","Online",11.652687416041,"Yes","Very satisfied"
"1425","Online",12.3458345922532,"No","Slightly satisfied"
"1426","In real life (in person)",11.2384886324264,"Yes","Very satisfied"
"1427","In real life (in person)",13.5670491999478,"No","Slightly dissatisfied"
"1428","In real life (in person)",11.8844890282993,"No","Slightly satisfied"
"1429","In real life (in person)",-6.90775527898214,"Yes","Very satisfied"
"1430","Online",10.9508065643605,"Yes","Slightly satisfied"
"1431","In real life (in person)",11.6036806592886,"No","Very satisfied"
"1432","In real life (in person)",11.3504065472372,"Yes","Neither satisfied nor dissatisfied"
"1433","In real life (in person)",NA,"Yes","Slightly satisfied"
"1434","In real life (in person)",12.0137007589433,"Yes","Slightly dissatisfied"
"1435","In real life (in person)",11.289781926156,"No","Slightly satisfied"
"1436","In real life (in person)",11.289781926156,"No","Slightly satisfied"
"1437","In real life (in person)",11.461632181109,"No","Slightly satisfied"
"1438","In real life (in person)",12.0137007589433,"Yes","Very dissatisfied"
"1439","In real life (in person)",10.4042628707516,NA,"Very satisfied"
"1440","Online",12.0435537219148,"Yes","Slightly satisfied"
"1441","In real life (in person)",12.1807548426741,"No","Very satisfied"
"1442","In real life (in person)",12.7367008995335,"Yes","Slightly dissatisfied"
"1443","In real life (in person)",11.7519423733147,"No","Very satisfied"
"1444","In real life (in person)",11.4075649604235,"No","Very dissatisfied"
"1445","In real life (in person)",11.8350089713857,"Yes","Very satisfied"
"1446","In real life (in person)",11.7199396424846,"No","Slightly dissatisfied"
"1447","Online",11.5129254749702,"Yes","Slightly satisfied"
"1448","In real life (in person)",NA,"No","Very dissatisfied"
"1449","In real life (in person)",11.3504065472372,"Yes","Very satisfied"
"1450","In real life (in person)",11.967180743597,"Yes","Slightly dissatisfied"
"1451","Online",NA,"Yes","Slightly satisfied"
"1452","Online",12.1652506562183,"Yes","Very satisfied"
"1453","Online",11.77528973713,"No","Slightly satisfied"
"1454","In real life (in person)",14.0931422953201,"No","Slightly satisfied"
"1455","In real life (in person)",NA,"Yes","Very satisfied"
"1456","In real life (in person)",11.289781926156,"Yes","Slightly satisfied"
"1457","In real life (in person)",13.5823166720592,"Yes","Slightly satisfied"
"1458","Online",NA,"Yes","Slightly dissatisfied"
"1459","In real life (in person)",11.8422292193071,"Yes","Very satisfied"
"1460","In real life (in person)",11.2252434058518,"No","Neither satisfied nor dissatisfied"
"1461","In real life (in person)",NA,"Yes","Very satisfied"
"1462","In real life (in person)",11.77528973713,"Yes","Very satisfied"
"1463","In real life (in person)",11.982929100466,"Yes","Very satisfied"
"1464","Online",13.9978321155916,"No","Slightly satisfied"
"1465","In real life (in person)",13.9673729081326,"Yes","Very satisfied"
"1466","In real life (in person)",11.2384886324264,"Yes","Slightly satisfied"
"1467","Online",11.5805841227898,"No","Slightly satisfied"
"1468","In real life (in person)",11.4721034808666,"No","Very satisfied"
"1469","In real life (in person)",11.9183905797451,"No","Slightly dissatisfied"
"1470","Online",11.77528973713,"Yes","Very satisfied"
"1471","Online",11.0020998578709,"Yes","Very satisfied"
"1472","Online",11.6952470300975,"No","Very satisfied"
"1473","In real life (in person)",10.491274245216,"No","Slightly satisfied"
"1474","In real life (in person)",11.3504065472372,"Yes","Very satisfied"
"1475","In real life (in person)",13.1643284003386,"Yes","Slightly satisfied"
"1476","In real life (in person)",NA,"No",NA
"1477","Online",11.1884687657883,"Yes","Very satisfied"
"1478","In real life (in person)",11.8277362121095,"Yes","Slightly satisfied"
"1479","In real life (in person)",11.289781926156,"No","Very satisfied"
"1480","In real life (in person)",12.1281111094659,"No","Slightly satisfied"
"1481","In real life (in person)",11.0821425642624,"Yes","Slightly dissatisfied"
"1482","In real life (in person)",11.652687416041,"No","Very dissatisfied"
"1483","Online",11.0020998578709,"Yes","Very satisfied"
"1484","Online",11.8055950863957,"Yes","Very satisfied"
"1485","In real life (in person)",11.461632181109,"Yes","Very satisfied"
"1486","In real life (in person)",11.3265958988269,"Yes","Slightly satisfied"
"1487","In real life (in person)",12.1007121354279,"No","Very dissatisfied"
"1488","Online",NA,"Yes","Very satisfied"
"1489","Online",11.2708539165094,"Yes","Slightly satisfied"
"1490","Online",11.2672084263203,"Yes","Slightly satisfied"
"1491","Online",10.6689554179315,"No","Slightly dissatisfied"
"1492","In real life (in person)",11.3144745384415,"Yes","Very dissatisfied"
"1493","Online",11.7905572091443,"No","Slightly satisfied"
"1494","Online",11.2252434058518,"Yes","Slightly satisfied"
"1495","In real life (in person)",9.32926652291615,"No","Slightly dissatisfied"
"1496","Online",11.9183905797451,"Yes","Slightly dissatisfied"
"1497","Online",NA,"No","Very satisfied"
"1498","Online",12.30138282988,"Yes","Very dissatisfied"
"1499","Online",14.6344089442707,"Yes","Slightly satisfied"
"1500","In real life (in person)",11.289781926156,"No","Very satisfied"
"1501","In real life (in person)",11.6082356538655,"Yes","Very satisfied"
"1502","In real life (in person)",11.2118203856998,"No","Very dissatisfied"
"1503","In real life (in person)",11.5089174536129,"No","Neither satisfied nor dissatisfied"
"1504","Online",12.4912515915232,"Yes","Very satisfied"
"1505","In real life (in person)",11.4075649604235,"No","Very dissatisfied"
"1506","In real life (in person)",10.9150884823964,"No","Very dissatisfied"
"1507","In real life (in person)",11.5424842769205,"Yes","Very dissatisfied"
"1508","In real life (in person)",13.64115717201,"Yes","Very dissatisfied"
"1509","Online",12.4684369138438,NA,"Slightly satisfied"
"1510","In real life (in person)",11.461632181109,"No","Slightly dissatisfied"
"1511","In real life (in person)",11.0821425642624,"Yes","Slightly satisfied"
"1512","In real life (in person)",11.1272629988641,NA,"Slightly satisfied"
"1513","In real life (in person)",11.5129254749702,"Yes","Very satisfied"
"1514","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"1515","In real life (in person)",11.652687416041,"Yes","Slightly satisfied"
"1516","In real life (in person)",11.6952470300975,"Yes","Very satisfied"
"1517","Online",NA,"No","Very satisfied"
"1518","In real life (in person)",2.30268508799438,"Yes","Very satisfied"
"1519","In real life (in person)",NA,"Yes","Very satisfied"
"1520","In real life (in person)",12.0725412586199,"No","Very satisfied"
"1521","In real life (in person)",11.289781926156,"No","Slightly dissatisfied"
"1522","Online",11.289781926156,"Yes","Very satisfied"
"1523","Online",12.2060726505302,"No","Slightly satisfied"
"1524","In real life (in person)",11.77528973713,"No","Very satisfied"
"1525","In real life (in person)",11.2185544177905,"Yes","Very satisfied"
"1526","In real life (in person)",12.8992198285901,"No","Slightly satisfied"
"1527","Online",11.652687416041,"No","Slightly satisfied"
"1528","In real life (in person)",NA,"Yes","Very satisfied"
"1529","Online",11.9183905797451,"No","Neither satisfied nor dissatisfied"
"1530","In real life (in person)",10.2470772923872,"Yes","Neither satisfied nor dissatisfied"
"1531","In real life (in person)",11.373663409131,"No","Slightly satisfied"
"1532","In real life (in person)",11.6082356538655,"Yes","Slightly satisfied"
"1533","Online",11.4824662677948,"No","Neither satisfied nor dissatisfied"
"1534","Online",11.289781926156,"No","Very satisfied"
"1535","Online",15.095849810302,"Yes","Very satisfied"
"1536","Online",11.3504065472372,"No","Slightly satisfied"
"1537","Online",11.7117763319121,"Yes","Neither satisfied nor dissatisfied"
"1538","Online",12.1007121354279,"No","Slightly dissatisfied"
"1539","In real life (in person)",12.1007121354279,"Yes","Very satisfied"
"1540","In real life (in person)",11.951180402353,"Yes","Neither satisfied nor dissatisfied"
"1541","In real life (in person)",11.4927227678568,"Yes","Very satisfied"
"1542","In real life (in person)",11.289781926156,"Yes","Slightly satisfied"
"1543","Online",9.76422554267388,"Yes","Slightly satisfied"
"1544","Online",11.1562505353172,"No","Very satisfied"
"1545","Online",11.1844214118871,"Yes","Slightly satisfied"
"1546","In real life (in person)",11.5711943825282,"Yes","Very satisfied"
"1547","In real life (in person)",11.3504065472372,"Yes","Very satisfied"
"1548","Online",11.4075649604235,"Yes","Slightly dissatisfied"
"1549","In real life (in person)",11.7035458328433,"Yes","Slightly satisfied"
"1550","Online",14.1021921308332,"No","Very satisfied"
"1551","In real life (in person)",11.5129254749702,"No","Slightly satisfied"
"1552","In real life (in person)",11.8913619075398,"Yes","Neither satisfied nor dissatisfied"
"1553","In real life (in person)",11.77528973713,"Yes","Slightly dissatisfied"
"1554","Online",NA,"No","Slightly satisfied"
"1555","In real life (in person)",8.47637140522929,"Yes","Slightly satisfied"
"1556","In real life (in person)",11.2252434058518,"Yes","Very satisfied"
"1557","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"1558","In real life (in person)",11.77528973713,"Yes","Very satisfied"
"1559","Online",11.0821425642624,"Yes","Very satisfied"
"1560","Online",NA,"Yes","Slightly satisfied"
"1561","In real life (in person)",11.6082356538655,"No","Neither satisfied nor dissatisfied"
"1562","In real life (in person)",NA,"No","Very satisfied"
"1563","In real life (in person)",11.9183905797451,"Yes","Very satisfied"
"1564","In real life (in person)",11.9183905797451,"Yes","Slightly satisfied"
"1565","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"1566","Online",NA,"Yes","Very satisfied"
"1567","In real life (in person)",11.1272629988641,"Yes","Slightly satisfied"
"1568","In real life (in person)",13.0170028639687,"No","Slightly satisfied"
"1569","In real life (in person)",14.9888776907812,"Yes","Slightly dissatisfied"
"1570","In real life (in person)",11.0020998578709,"Yes","Very satisfied"
"1571","In real life (in person)",12.0435537219148,"No","Slightly satisfied"
"1572","Online",12.7656884363227,"No","Very satisfied"
"1573","In real life (in person)",11.1562505353172,"No","Very satisfied"
"1574","In real life (in person)",11.9183905797451,"No","Very satisfied"
"1575","In real life (in person)",12.4292162008444,"No","Very dissatisfied"
"1576","Online",11.9183905797451,"Yes","Slightly dissatisfied"
"1577","In real life (in person)",11.982929100466,"Yes","Very dissatisfied"
"1578","Online",11.982929100466,"Yes","Very satisfied"
"1579","Online",11.0020998578709,"No","Very satisfied"
"1580","Online",NA,NA,NA
"1581","In real life (in person)",NA,"No","Very satisfied"
"1582","In real life (in person)",10.7684850110754,"No","Slightly dissatisfied"
"1583","In real life (in person)",14.6909792957348,"No","Very satisfied"
"1584","Online",12.323855685631,"Yes","Very satisfied"
"1585","In real life (in person)",11.8313792033615,"Yes","Very satisfied"
"1586","In real life (in person)",11.77528973713,"Yes","Slightly dissatisfied"
"1587","In real life (in person)",NA,"No","Slightly dissatisfied"
"1588","In real life (in person)",12.2060726505302,"Yes","Slightly satisfied"
"1589","In real life (in person)",12.4130868189795,"No","Very satisfied"
"1590","In real life (in person)",10.5966347580961,"Yes","Very satisfied"
"1591","In real life (in person)",11.3144745384415,"Yes","Very satisfied"
"1592","In real life (in person)",11.2118203856998,"No","Slightly satisfied"
"1593","Online",11.461632181109,"No","Slightly satisfied"
"1594","Online",13.9978321155916,"No","Very satisfied"
"1595","In real life (in person)",15.1924766459655,"Yes","Very satisfied"
"1596","In real life (in person)",10.8197783044103,"No","Slightly dissatisfied"
"1597","In real life (in person)",11.9183905797451,"No","Slightly satisfied"
"1598","Online",11.289781926156,"No","Neither satisfied nor dissatisfied"
"1599","Online",11.4824662677948,"Yes","Slightly satisfied"
"1600","Online",11.77528973713,"No","Slightly satisfied"
"1601","Online",11.4721034808666,"Yes","Neither satisfied nor dissatisfied"
"1602","In real life (in person)",11.4295438669007,"No","Slightly satisfied"
"1603","In real life (in person)",12.1281111094659,"Yes","Slightly satisfied"
"1604","In real life (in person)",9.8626656100992,"No","Very satisfied"
"1605","Online",11.4927227678568,"Yes","Slightly satisfied"
"1606","In real life (in person)",NA,"No","Very satisfied"
"1607","Online",NA,"Yes","Slightly satisfied"
"1608","Online",NA,"Yes","Very dissatisfied"
"1609","In real life (in person)",11.1243174886778,"No","Very satisfied"
"1610","In real life (in person)",12.0137007589433,"Yes","Very satisfied"
"1611","In real life (in person)",11.0020998578709,"Yes","Very dissatisfied"
"1612","Online",8.38480423168097,"Yes","Neither satisfied nor dissatisfied"
"1613","In real life (in person)",11.6082356538655,"No","Very satisfied"
"1614","In real life (in person)",11.5129154749203,"Yes","Very satisfied"
"1615","Online",14.2601963798667,"Yes","Very satisfied"
"1616","In real life (in person)",11.289781926156,"No","Slightly satisfied"
"1617","Online",11.1982147338292,"Yes","Very satisfied"
"1618","In real life (in person)",16.1600606720707,"Yes","Neither satisfied nor dissatisfied"
"1619","Online",10.1345993131821,"Yes","Slightly satisfied"
"1620","In real life (in person)",11.461632181109,"No","Slightly satisfied"
"1621","In real life (in person)",8.18868940222194,"Yes","Slightly satisfied"
"1622","Online",11.4075649604235,"Yes","Neither satisfied nor dissatisfied"
"1623","In real life (in person)",11.1562505353172,"Yes","Slightly dissatisfied"
"1624","In real life (in person)",11.3504065472372,"Yes","Neither satisfied nor dissatisfied"
"1625","Online",11.3504065472372,"No","Slightly satisfied"
"1626","Online",11.5711943825282,"No","Very satisfied"
"1627","In real life (in person)",11.418614796488,"No","Slightly satisfied"
"1628","In real life (in person)",11.1913418546359,"Yes","Very satisfied"
"1629","Online",11.6082356538655,"No","Very satisfied"
"1630","In real life (in person)",10.7144177909747,"Yes","Very satisfied"
"1631","In real life (in person)",12.3480061457572,"Yes","Slightly dissatisfied"
"1632","Online",12.2060726505302,"No","Slightly satisfied"
"1633","In real life (in person)",10.491274245216,"Yes","Slightly satisfied"
"1634","Online",11.3235793053239,"Yes","Slightly satisfied"
"1635","Online",11.4075649604235,"No","Slightly dissatisfied"
"1636","Online",11.9183905797451,"Yes","Slightly satisfied"
"1637","In real life (in person)",10.3509177136242,"No","Slightly dissatisfied"
"1638","Online",11.7519423733147,"Yes","Slightly dissatisfied"
"1639","In real life (in person)",11.4349639343113,"Yes","Slightly satisfied"
"1640","In real life (in person)",15.4364542841279,"Yes","Slightly satisfied"
"1641","In real life (in person)",11.5898865153656,"Yes","Very satisfied"
"1642","In real life (in person)",NA,"Yes","Slightly satisfied"
"1643","Online",10.7144177909747,"Yes","Very satisfied"
"1644","In real life (in person)",11.1272629988641,"Yes","Slightly satisfied"
"1645","In real life (in person)",NA,"No","Very satisfied"
"1646","In real life (in person)",11.2515607138228,"No","Neither satisfied nor dissatisfied"
"1647","Online",10.3089526939776,"Yes","Slightly satisfied"
"1648","Online",11.9183905797451,"Yes","Very satisfied"
"1649","Online",9.39266201210347,"Yes","Slightly satisfied"
"1650","In real life (in person)",NA,"Yes","Slightly satisfied"
"1651","Online",11.0666383779668,"Yes","Slightly dissatisfied"
"1652","Online",11.289781926156,"No","Slightly satisfied"
"1653","In real life (in person)",10.645424921075,"Yes","Slightly satisfied"
"1654","In real life (in person)",11.5617156386635,"Yes","Slightly dissatisfied"
"1655","In real life (in person)",NA,"No","Very dissatisfied"
"1656","In real life (in person)",11.4721034808666,"Yes","Slightly dissatisfied"
"1657","In real life (in person)",13.8924716000263,"No","Neither satisfied nor dissatisfied"
"1658","Online",11.3963916599502,"Yes","Very dissatisfied"
"1659","In real life (in person)",11.3504065472372,"Yes","Slightly satisfied"
"1660","In real life (in person)",11.5129254749702,"Yes","Very satisfied"
"1661","In real life (in person)",11.2252434058518,"No","Very satisfied"
"1662","In real life (in person)",11.6082356538655,"Yes","Slightly satisfied"
"1663","In real life (in person)",11.0348896801563,"Yes","Very satisfied"
"1664","Online",11.8493977087343,"No","Very satisfied"
"1665","In real life (in person)",12.4874851087419,"Yes","Very satisfied"
"1666","In real life (in person)",10.8967393440649,"Yes","Slightly satisfied"
"1667","In real life (in person)",11.0020998578709,"No","Slightly dissatisfied"
"1668","Online",11.385092104824,NA,"Very satisfied"
"1669","Online",11.1562505353172,"Yes","Slightly satisfied"
"1670","In real life (in person)",11.5129254749702,"Yes","Slightly satisfied"
"1671","Online",10.6596095557316,"No","Slightly satisfied"
"1672","Online",11.1562505353172,"No","Slightly satisfied"
"1673","In real life (in person)",11.0482228882848,"No","Neither satisfied nor dissatisfied"
"1674","In real life (in person)",11.2772031441074,"Yes","Slightly satisfied"
"1675","Online",11.4721034808666,"Yes","Slightly satisfied"
"1676","Online",NA,"Yes",NA
"1677","In real life (in person)",NA,"No","Very satisfied"
"1678","In real life (in person)",11.7981044147227,"Yes","Slightly dissatisfied"
"1679","In real life (in person)",11.982929100466,"No","Slightly satisfied"
"1680","In real life (in person)",11.3504065472372,"Yes","Very satisfied"
"1681","In real life (in person)",11.289781926156,"Yes","Neither satisfied nor dissatisfied"
"1682","Online",11.3621025868636,"Yes","Very satisfied"
"1683","In real life (in person)",NA,"Yes","Slightly satisfied"
"1684","In real life (in person)",NA,NA,"Slightly dissatisfied"
"1685","In real life (in person)",11.5973952907865,"No","Slightly satisfied"
"1686","In real life (in person)",NA,"No","Slightly satisfied"
"1687","In real life (in person)",11.4075649604235,"No","Slightly satisfied"
"1688","In real life (in person)",11.951180402353,"Yes","Very satisfied"
"1689","In real life (in person)",11.3504065472372,"Yes","Slightly satisfied"
"1690","In real life (in person)",NA,"Yes","Very satisfied"
"1691","In real life (in person)",12.0725412586199,"No","Very satisfied"
"1692","In real life (in person)",NA,"Yes","Very satisfied"
"1693","Online",13.7993811770507,"Yes","Slightly satisfied"
"1694","Online",NA,"No","Slightly dissatisfied"
"1695","In real life (in person)",16.0874899792431,"Yes","Slightly satisfied"
"1696","Online",NA,"Yes","Slightly satisfied"
"1697","In real life (in person)",11.6952470300975,"Yes","Neither satisfied nor dissatisfied"
"1698","In real life (in person)",12.0610468792603,"Yes","Slightly satisfied"
"1699","In real life (in person)",11.3771057532824,"Yes","Slightly dissatisfied"
"1700","In real life (in person)",12.1007121354279,"No","Neither satisfied nor dissatisfied"
"1701","Online",11.4075649604235,"Yes","Very satisfied"
"1702","Online",11.5228758057244,"No","Slightly dissatisfied"
"1703","Online",11.8493977087343,"No","Slightly satisfied"
"1704","In real life (in person)",12.6115377569717,"No","Slightly satisfied"
"1705","In real life (in person)",11.2695792190936,"No","Very satisfied"
"1706","In real life (in person)",11.2563156249983,"Yes","Slightly satisfied"
"1707","Online",11.77528973713,"No","Very satisfied"
"1708","In real life (in person)",11.813030064828,"No","Slightly satisfied"
"1709","Online",11.4403547828881,"Yes","Slightly dissatisfied"
"1710","In real life (in person)",14.4986074031758,"No","Slightly satisfied"
"1711","In real life (in person)",11.0821425642624,"Yes","Slightly satisfied"
"1712","In real life (in person)",12.0137007589433,"No","Slightly dissatisfied"
"1713","In real life (in person)",11.6082356538655,"No","Very satisfied"
"1714","In real life (in person)",10.5991316382323,"Yes","Very satisfied"
"1715","In real life (in person)",11.8493977087343,"No","Very satisfied"
"1716","In real life (in person)",11.6952470300975,"Yes","Very satisfied"
"1717","Online",11.8635400892121,"Yes","Very dissatisfied"
"1718","In real life (in person)",12.9480099926405,"No","Very satisfied"
"1719","In real life (in person)",11.5617156386635,"Yes","Slightly satisfied"
"1720","In real life (in person)",13.7746885644857,"Yes","Slightly satisfied"
"1721","In real life (in person)",11.5805841227898,"No","Slightly dissatisfied"
"1722","In real life (in person)",11.5617156386635,"No","Neither satisfied nor dissatisfied"
"1723","In real life (in person)",11.8055950863957,"Yes","Slightly satisfied"
"1724","Online",11.9447078878893,"No","Slightly satisfied"
"1725","In real life (in person)",11.1562505353172,"Yes","Neither satisfied nor dissatisfied"
"1726","Online",8.69951491487685,"No","Neither satisfied nor dissatisfied"
"1727","In real life (in person)",11.9316358064074,"No","Very dissatisfied"
"1728","In real life (in person)",11.7199396424846,"No","Slightly satisfied"
"1729","In real life (in person)",12.1007121354279,"No","Very satisfied"
"1730","Online",NA,"Yes","Very satisfied"
"1731","Online",11.5711943825282,"No","Slightly dissatisfied"
"1732","Online",NA,"Yes","Very satisfied"
"1733","In real life (in person)",12.0435537219148,"No","Slightly dissatisfied"
"1734","In real life (in person)",10.9150884823964,"No","Very satisfied"
"1735","In real life (in person)",11.5129254749702,"Yes","Very satisfied"
"1736","In real life (in person)",11.7360690242844,"Yes","Very satisfied"
"1737","In real life (in person)",12.2643415583711,"Yes","Very satisfied"
"1738","In real life (in person)",NA,"No","Very satisfied"
"1739","In real life (in person)",11.9183905797451,"No","Slightly dissatisfied"
"1740","Online",14.6903847023328,"Yes","Slightly dissatisfied"
"1741","Online",11.3621025868636,"No","Slightly dissatisfied"
"1742","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"1743","Online",11.6082356538655,"Yes","Slightly satisfied"
"1744","Online",11.8844890282993,"No","Slightly satisfied"
"1745","Online",11.4721034808666,"Yes","Slightly satisfied"
"1746","In real life (in person)",12.2737312986769,"Yes","Very satisfied"
"1747","Online",NA,"Yes","Very satisfied"
"1748","In real life (in person)",11.5617156386635,"Yes","Very satisfied"
"1749","In real life (in person)",11.7360690242844,"Yes","Slightly satisfied"
"1750","In real life (in person)",11.77528973713,"No","Very satisfied"
"1751","Online",12.3501729938329,"No","Slightly satisfied"
"1752","In real life (in person)",12.1007121354279,"No","Very satisfied"
"1753","In real life (in person)",NA,"Yes","Very satisfied"
"1754","In real life (in person)",12.4292162008444,"No","Very satisfied"
"1755","In real life (in person)",11.3385720897302,"Yes","Neither satisfied nor dissatisfied"
"1756","In real life (in person)",8.9618791408828,"Yes","Slightly dissatisfied"
"1757","Online",11.1844214118871,"Yes","Very satisfied"
"1758","In real life (in person)",11.7199396424846,"Yes","Very satisfied"
"1759","In real life (in person)",11.0348896801563,"No","Very satisfied"
"1760","Online",11.6952470300975,"Yes","Slightly dissatisfied"
"1761","In real life (in person)",12.0839050172057,"Yes","Very satisfied"
"1762","Online",11.4295438669007,"Yes","Very satisfied"
"1763","Online",11.1124479132985,"Yes","Very satisfied"
"1764","In real life (in person)",5.85793601162224,"Yes","Slightly satisfied"
"1765","Online",15.6066754339568,"Yes","Slightly dissatisfied"
"1766","Online",11.77528973713,"No","Slightly satisfied"
"1767","In real life (in person)",11.461632181109,"Yes","Neither satisfied nor dissatisfied"
"1768","Online",NA,"No","Slightly satisfied"
"1769","In real life (in person)",13.0815413849674,"Yes","Slightly satisfied"
"1770","In real life (in person)",11.7360690242844,"Yes","Neither satisfied nor dissatisfied"
"1771","Online",11.4510500718904,"Yes","Slightly satisfied"
"1772","In real life (in person)",9.48797218433204,"Yes","Slightly satisfied"
"1773","In real life (in person)",11.0020998578709,"Yes","Very satisfied"
"1774","Online",12.1547793564058,"No","Very satisfied"
"1775","In real life (in person)",11.6952470300975,"Yes","Neither satisfied nor dissatisfied"
"1776","Online",10.9612778640451,"Yes","Very satisfied"
"1777","In real life (in person)",9.98044863996855,"Yes","Neither satisfied nor dissatisfied"
"1778","Online",11.4075649604235,"No","Slightly satisfied"
"1779","Online",14.2979367078259,"Yes","Very satisfied"
"1780","In real life (in person)",10.9150884823964,"No","Very satisfied"
"1781","In real life (in person)",11.1562505353172,"Yes","Slightly dissatisfied"
"1782","In real life (in person)",12.2548628144615,"Yes","Very satisfied"
"1783","In real life (in person)",11.5019656348441,"Yes","Very satisfied"
"1784","In real life (in person)",11.1844214118871,"Yes","Slightly satisfied"
"1785","In real life (in person)",15.0513980477438,NA,"Slightly satisfied"
"1786","In real life (in person)",12.5947306387118,"Yes","Slightly satisfied"
"1787","In real life (in person)",11.4510500718904,"No","Very satisfied"
"1788","In real life (in person)",11.1982147338292,"Yes","Slightly dissatisfied"
"1789","Online",11.0020998578709,"Yes","Slightly satisfied"
"1790","Online",11.7199396424846,"Yes","Very satisfied"
"1791","Online",10.7684850110754,"No","Very satisfied"
"1792","Online",NA,"Yes","Very satisfied"
"1793","In real life (in person)",12.6115377569717,"Yes","Very satisfied"
"1794","In real life (in person)",11.4403547828881,"Yes","Slightly dissatisfied"
"1795","In real life (in person)",11.385092104824,"Yes","Slightly dissatisfied"
"1796","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"1797","In real life (in person)",10.1277741703009,"No","Slightly satisfied"
"1798","In real life (in person)",NA,"Yes","Slightly satisfied"
"1799","In real life (in person)",12.2060726505302,"Yes","Slightly satisfied"
"1800","In real life (in person)",15.8033857281731,"Yes","Very satisfied"
"1801","In real life (in person)",11.5129254749702,"No","Slightly dissatisfied"
"1802","In real life (in person)",10.9750720078571,"Yes","Very satisfied"
"1803","In real life (in person)",14.1801536722466,"Yes","Very satisfied"
"1804","Online",11.7360690242844,"Yes","Very satisfied"
"1805","Online",NA,"Yes","Neither satisfied nor dissatisfied"
"1806","In real life (in person)",11.8844890282993,"No","Slightly dissatisfied"
"1807","Online",11.3963916599502,"No","Very satisfied"
"1808","In real life (in person)",11.3144745384415,"Yes","Very satisfied"
"1809","Online",NA,"Yes","Very satisfied"
"1810","Online",NA,"No","Neither satisfied nor dissatisfied"
"1811","In real life (in person)",11.77528973713,"Yes","Slightly dissatisfied"
"1812","In real life (in person)",11.1562505353172,"No","Very satisfied"
"1813","Online",12.30138282988,"Yes","Slightly satisfied"
"1814","In real life (in person)",15.1792314192188,"No","Slightly satisfied"
"1815","Online",11.813030064828,"No","Slightly dissatisfied"
"1816","In real life (in person)",11.8493977087343,"Yes","Very satisfied"
"1817","Online",11.289781926156,"No","Very satisfied"
"1818","In real life (in person)",11.77528973713,"Yes","Very satisfied"
"1819","In real life (in person)",NA,"Yes","Slightly satisfied"
"1820","In real life (in person)",NA,NA,"Very satisfied"
"1821","Online",12.1547793564058,"Yes","Slightly satisfied"
"1822","In real life (in person)",NA,"Yes","Very satisfied"
"1823","Online",NA,"Yes","Very dissatisfied"
"1824","Online",11.7360690242844,"No","Slightly satisfied"
"1825","In real life (in person)",9.49702201916945,"Yes","Slightly satisfied"
"1826","Online",NA,"Yes","Very satisfied"
"1827","In real life (in person)",11.0821425642624,"Yes","Neither satisfied nor dissatisfied"
"1828","In real life (in person)",NA,"Yes","Neither satisfied nor dissatisfied"
"1829","In real life (in person)",11.1272629988641,"Yes","Slightly satisfied"
"1830","In real life (in person)",10.491274245216,"No","Very satisfied"
"1831","Online",11.652687416041,"Yes","Very satisfied"
"1832","Online",11.5129254749702,"Yes","Very satisfied"
"1833","In real life (in person)",12.1007121354279,"Yes","Very satisfied"
"1834","Online",11.3504065472372,"No","Slightly dissatisfied"
"1835","In real life (in person)",NA,"No","Very satisfied"
"1836","Online",10.0858091509967,"Yes","Very dissatisfied"
"1837","In real life (in person)",NA,"No","Very satisfied"
"1838","In real life (in person)",11.0020998578709,"Yes","Neither satisfied nor dissatisfied"
"1839","In real life (in person)",11.5617156386635,"Yes","Very satisfied"
"1840","In real life (in person)",11.6082356538655,"Yes","Very satisfied"
"1841","In real life (in person)",11.0020998578709,"Yes","Slightly satisfied"
"1842","In real life (in person)",11.652687416041,"Yes","Slightly satisfied"
"1843","Online",11.8430921562162,"No","Very satisfied"
"1844","Online",10.7144177909747,"Yes","Neither satisfied nor dissatisfied"
"1845","Online",9.94545262149779,"Yes","Very satisfied"
"1846","In real life (in person)",NA,"No","Slightly satisfied"
"1847","Online",11.4932328418234,"No","Very satisfied"
"1848","Online",11.9183905797451,"Yes","Slightly satisfied"
"1849","Online",NA,"Yes","Neither satisfied nor dissatisfied"
"1850","In real life (in person)",11.4075649604235,"No","Very satisfied"
"1851","In real life (in person)",11.6784399119224,"No","Slightly dissatisfied"
"1852","Online",11.951180402353,"No","Very satisfied"
